GameWeek,Date,Points
1,2005-08-06,0
2,2005-08-09,3
3,2005-08-13,3
4,2005-08-20,3
5,2005-08-27,1
6,2005-08-29,3
7,2005-09-10,1
8,2005-09-13,3
9,2005-09-17,3
10,2005-09-24,3
11,2005-09-28,1
12,2005-10-01,3
13,2005-10-16,3
14,2005-10-18,1
15,2005-10-22,3
16,2005-10-29,1
17,2005-11-01,3
18,2005-11-05,3
19,2005-11-19,3
20,2005-11-22,3
21,2005-11-26,3
22,2005-12-03,3
23,2005-12-10,3
24,2005-12-17,3
25,2005-12-26,3
26,2005-12-28,3
27,2005-12-31,1
28,2006-01-02,3
29,2006-01-14,3
30,2006-01-20,1
31,2006-01-31,3
32,2006-02-04,3
33,2006-02-10,3
34,2006-02-14,1
35,2006-02-17,0
36,2006-02-25,3
37,2006-03-04,3
38,2006-03-11,1
39,2006-03-18,1
40,2006-03-25,1
41,2006-04-01,3
42,2006-04-08,3
43,2006-04-15,1
44,2006-04-17,3
45,2006-04-22,1
46,2006-04-30,3
